candidate,regime,regime_name,seed,peg_vol,max_dev_pct,resets,haircut_pct,all_gates_pass
Fragile Narrow Vector,PROLONGED_STAGNANT_BEAR,Prolonged Stagnant Bear (2-Year),101,42.51891450466112,2.7409907373332043,278,0.0,False
Fragile Narrow Vector,PROLONGED_STAGNANT_BEAR,Prolonged Stagnant Bear (2-Year),202,42.3795204154239,2.918958699869667,316,0.0,False
Fragile Narrow Vector,PROLONGED_STAGNANT_BEAR,Prolonged Stagnant Bear (2-Year),303,42.486000035487244,3.1975046739884494,298,0.0,False
Fragile Narrow Vector,PROLONGED_STAGNANT_BEAR,Prolonged Stagnant Bear (2-Year),404,42.51697557205455,2.6335454348029863,125,0.0,False
Fragile Narrow Vector,PROLONGED_STAGNANT_BEAR,Prolonged Stagnant Bear (2-Year),505,42.54428160150607,3.1694852904184834,197,0.0,False
Fragile Narrow Vector,HIGH_YIELD,High Staking Yield Regime (q = 10%),101,42.6021038094632,3.6367966464373236,288,0.0,False
Fragile Narrow Vector,HIGH_YIELD,High Staking Yield Regime (q = 10%),202,42.511580377287764,2.903053722602955,295,0.0,False
Fragile Narrow Vector,HIGH_YIELD,High Staking Yield Regime (q = 10%),303,42.46107742144367,2.740581049453672,354,0.0,False
Fragile Narrow Vector,HIGH_YIELD,High Staking Yield Regime (q = 10%),404,42.59085103201193,3.2990480669841227,315,0.0,False
Fragile Narrow Vector,HIGH_YIELD,High Staking Yield Regime (q = 10%),505,42.59947758389494,3.2285976899226188,219,0.0,False
Fragile Narrow Vector,LOW_YIELD_COMPRESSION,Low Yield Compression Regime (q = 3.5%),101,42.47971160879088,3.5204583797967093,327,0.0,False
Fragile Narrow Vector,LOW_YIELD_COMPRESSION,Low Yield Compression Regime (q = 3.5%),202,42.57576920035925,3.1130337954589304,296,0.0,False
Fragile Narrow Vector,LOW_YIELD_COMPRESSION,Low Yield Compression Regime (q = 3.5%),303,42.43917537218224,2.7115910171169877,357,0.0,False
Fragile Narrow Vector,LOW_YIELD_COMPRESSION,Low Yield Compression Regime (q = 3.5%),404,42.48793305002667,2.6623068073229117,317,0.0,False
Fragile Narrow Vector,LOW_YIELD_COMPRESSION,Low Yield Compression Regime (q = 3.5%),505,42.513755787632704,3.0482482288687773,304,0.0,False
Fragile Narrow Vector,ILLIQUID_AMM,Severely Constrained AMM Liquidity ($1.5M),101,42.569899195000644,3.539201236384959,294,0.0,False
Fragile Narrow Vector,ILLIQUID_AMM,Severely Constrained AMM Liquidity ($1.5M),202,42.45160007299033,2.952997947974645,296,0.0,False
Fragile Narrow Vector,ILLIQUID_AMM,Severely Constrained AMM Liquidity ($1.5M),303,42.51825998838187,3.166366506148943,354,0.0,False
Fragile Narrow Vector,ILLIQUID_AMM,Severely Constrained AMM Liquidity ($1.5M),404,42.559754775337225,3.546406163745741,315,0.0,False
Fragile Narrow Vector,ILLIQUID_AMM,Severely Constrained AMM Liquidity ($1.5M),505,42.48985800548546,3.494751758793546,187,0.0,False
Robust Corridor (No D-Term),CALM_BULL,Calm Bull Market,101,2.5874948265179505,0.43867461852651335,247,0.0,False
Robust Corridor (No D-Term),CALM_BULL,Calm Bull Market,202,2.685503176124499,0.43340995343812416,0,0.0,False
Robust Corridor (No D-Term),CALM_BULL,Calm Bull Market,303,2.7571868887337336,0.5881043850661682,0,0.0,False
Robust Corridor (No D-Term),CALM_BULL,Calm Bull Market,404,2.615650281849219,0.3984385810641422,0,0.0,False
Robust Corridor (No D-Term),CALM_BULL,Calm Bull Market,505,2.510495515945068,0.3721263074592418,0,0.0,False
