track,H_d,H_u,R,R_prime,R_tilde,sigma,crash_tolerance_pct,peg_volatility_pct,annual_reset_rate,utility_score
Tranching_Safety,0.15,2.0,0.06,0.04,0.15,1.2,-53.141514973576044,1.626530158023592,0.8301201268038568,90.21769260464569
Tranching_Safety,0.15,2.0,0.073,0.02,0.0,0.6,-56.52173913043478,0.813265079011796,0.4150600634019284,107.08923895978154
Tranching_Safety,0.15,2.0,0.073,0.02,0.0,0.8986,-56.52173913043478,1.2179999999999997,0.6216216216216215,99.36572267920094
Tranching_Safety,0.15,2.0,0.073,0.02,0.0,1.2,-56.52173913043478,1.626530158023592,0.8301201268038568,91.56978226738917
Tranching_Safety,0.15,2.0,0.073,0.02,0.1,0.6,-54.689146469968385,0.813265079011796,0.4150600634019284,106.35620189559498
Tranching_Safety,0.15,2.0,0.073,0.02,0.1,0.8986,-54.689146469968385,1.2179999999999997,0.6216216216216215,98.6326856150144
Tranching_Safety,0.15,2.0,0.073,0.02,0.1,1.2,-54.689146469968385,1.626530158023592,0.8301201268038568,90.83674520320261
Tranching_Safety,0.15,2.0,0.073,0.02,0.15,0.6,-53.518323381337076,0.813265079011796,0.4150600634019284,105.88787266014246
Tranching_Safety,0.15,2.0,0.073,0.02,0.15,0.8986,-53.518323381337076,1.2179999999999997,0.6216216216216215,98.16435637956187
Tranching_Safety,0.15,2.0,0.073,0.02,0.15,1.2,-53.518323381337076,1.626530158023592,0.8301201268038568,90.3684159677501
Tranching_Safety,0.15,2.0,0.073,0.03,0.0,0.6,-56.52173913043478,0.813265079011796,0.4150600634019284,107.08923895978154
Tranching_Safety,0.15,2.0,0.073,0.03,0.0,0.8986,-56.52173913043478,1.2179999999999997,0.6216216216216215,99.36572267920094
Tranching_Safety,0.15,2.0,0.073,0.03,0.0,1.2,-56.52173913043478,1.626530158023592,0.8301201268038568,91.56978226738917
Tranching_Safety,0.15,2.0,0.073,0.03,0.1,0.6,-54.572064161105246,0.813265079011796,0.4150600634019284,106.30936897204973
Tranching_Safety,0.15,2.0,0.073,0.03,0.1,0.8986,-54.572064161105246,1.2179999999999997,0.6216216216216215,98.58585269146914
Tranching_Safety,0.15,2.0,0.073,0.03,0.1,1.2,-54.572064161105246,1.626530158023592,0.8301201268038568,90.78991227965736
Tranching_Safety,0.15,2.0,0.073,0.03,0.15,0.6,-53.40124107247394,0.813265079011796,0.4150600634019284,105.84103973659721
Tranching_Safety,0.15,2.0,0.073,0.03,0.15,0.8986,-53.40124107247394,1.2179999999999997,0.6216216216216215,98.11752345601661
Tranching_Safety,0.15,2.0,0.073,0.03,0.15,1.2,-53.40124107247394,1.626530158023592,0.8301201268038568,90.32158304420484
Tranching_Safety,0.15,2.0,0.073,0.04,0.0,0.6,-56.52173913043478,0.813265079011796,0.4150600634019284,107.08923895978154
Tranching_Safety,0.15,2.0,0.073,0.04,0.0,0.8986,-56.52173913043478,1.2179999999999997,0.6216216216216215,99.36572267920094
Tranching_Safety,0.15,2.0,0.073,0.04,0.0,1.2,-56.52173913043478,1.626530158023592,0.8301201268038568,91.56978226738917
Tranching_Safety,0.15,2.0,0.073,0.04,0.1,0.6,-54.45498185224212,0.813265079011796,0.4150600634019284,106.26253604850449
Tranching_Safety,0.15,2.0,0.073,0.04,0.1,0.8986,-54.45498185224212,1.2179999999999997,0.6216216216216215,98.53901976792389
Tranching_Safety,0.15,2.0,0.073,0.04,0.1,1.2,-54.45498185224212,1.626530158023592,0.8301201268038568,90.74307935611212
Tranching_Safety,0.15,2.0,0.073,0.04,0.15,0.6,-53.284158763610826,0.813265079011796,0.4150600634019284,105.79420681305196
Tranching_Safety,0.15,2.0,0.073,0.04,0.15,0.8986,-53.284158763610826,1.2179999999999997,0.6216216216216215,98.07069053247136
Tranching_Safety,0.15,2.0,0.073,0.04,0.15,1.2,-53.284158763610826,1.626530158023592,0.8301201268038568,90.27475012065959
Tranching_Safety,0.15,2.0,0.09,0.02,0.0,0.6,-56.52173913043478,0.813265079011796,0.4150600634019284,107.08923895978154
Tranching_Safety,0.15,2.0,0.09,0.02,0.0,0.8986,-56.52173913043478,1.2179999999999997,0.6216216216216215,99.36572267920094
Tranching_Safety,0.15,2.0,0.09,0.02,0.0,1.2,-56.52173913043478,1.626530158023592,0.8301201268038568,91.56978226738917
Tranching_Safety,0.15,2.0,0.09,0.02,0.1,0.6,-54.86880466472304,0.813265079011796,0.4150600634019284,106.42806517349685
Tranching_Safety,0.15,2.0,0.09,0.02,0.1,0.8986,-54.86880466472304,1.2179999999999997,0.6216216216216215,98.70454889291625
Tranching_Safety,0.15,2.0,0.09,0.02,0.1,1.2,-54.86880466472304,1.626530158023592,0.8301201268038568,90.90860848110448
Tranching_Safety,0.15,2.0,0.09,0.02,0.15,0.6,-53.702623906705526,0.813265079011796,0.4150600634019284,105.96159287028985
Tranching_Safety,0.15,2.0,0.09,0.02,0.15,0.8986,-53.702623906705526,1.2179999999999997,0.6216216216216215,98.23807658970924
Tranching_Safety,0.15,2.0,0.09,0.02,0.15,1.2,-53.702623906705526,1.626530158023592,0.8301201268038568,90.44213617789748
Tranching_Safety,0.15,2.0,0.09,0.03,0.0,0.6,-56.52173913043478,0.813265079011796,0.4150600634019284,107.08923895978154
Tranching_Safety,0.15,2.0,0.09,0.03,0.0,0.8986,-56.52173913043478,1.2179999999999997,0.6216216216216215,99.36572267920094
Tranching_Safety,0.15,2.0,0.09,0.03,0.0,1.2,-56.52173913043478,1.626530158023592,0.8301201268038568,91.56978226738917
Tranching_Safety,0.15,2.0,0.09,0.03,0.1,0.6,-54.75218658892127,0.813265079011796,0.4150600634019284,106.38141794317613
Tranching_Safety,0.15,2.0,0.09,0.03,0.1,0.8986,-54.75218658892127,1.2179999999999997,0.6216216216216215,98.65790166259555
Tranching_Safety,0.15,2.0,0.09,0.03,0.1,1.2,-54.75218658892127,1.626530158023592,0.8301201268038568,90.86196125078376
Tranching_Safety,0.15,2.0,0.09,0.03,0.15,0.6,-53.58600583090378,0.813265079011796,0.4150600634019284,105.91494563996915
Tranching_Safety,0.15,2.0,0.09,0.03,0.15,0.8986,-53.58600583090378,1.2179999999999997,0.6216216216216215,98.19142935938855
Tranching_Safety,0.15,2.0,0.09,0.03,0.15,1.2,-53.58600583090378,1.626530158023592,0.8301201268038568,90.39548894757678
Tranching_Safety,0.15,2.0,0.09,0.04,0.0,0.6,-56.52173913043478,0.813265079011796,0.4150600634019284,107.08923895978154
Tranching_Safety,0.15,2.0,0.09,0.04,0.0,0.8986,-56.52173913043478,1.2179999999999997,0.6216216216216215,99.36572267920094
Tranching_Safety,0.15,2.0,0.09,0.04,0.0,1.2,-56.52173913043478,1.626530158023592,0.8301201268038568,91.56978226738917
Tranching_Safety,0.15,2.0,0.09,0.04,0.1,0.6,-54.63556851311952,0.813265079011796,0.4150600634019284,106.33477071285544
Tranching_Safety,0.15,2.0,0.09,0.04,0.1,0.8986,-54.63556851311952,1.2179999999999997,0.6216216216216215,98.61125443227485
Tranching_Safety,0.15,2.0,0.09,0.04,0.1,1.2,-54.63556851311952,1.626530158023592,0.8301201268038568,90.81531402046308
Tranching_Safety,0.15,2.0,0.09,0.04,0.15,0.6,-53.46938775510204,0.813265079011796,0.4150600634019284,105.86829840964845
Tranching_Safety,0.15,2.0,0.09,0.04,0.15,0.8986,-53.46938775510204,1.2179999999999997,0.6216216216216215,98.14478212906785
Tranching_Safety,0.15,2.0,0.09,0.04,0.15,1.2,-53.46938775510204,1.626530158023592,0.8301201268038568,90.34884171725608
Tranching_Safety,0.15,2.5,0.06,0.02,0.0,0.6,-56.52173913043478,0.8533273981749386,0.3267494116142841,107.19478938663556
Tranching_Safety,0.15,2.5,0.06,0.02,0.0,0.8986,-56.52173913043478,1.2779999999999998,0.48936170212765956,99.52380203515263
Tranching_Safety,0.15,2.5,0.06,0.02,0.0,1.2,-56.52173913043478,1.7066547963498773,0.6534988232285682,91.7808831210972
Tranching_Safety,0.15,2.5,0.06,0.02,0.1,0.6,-54.55079271873164,0.8533273981749386,0.3267494116142841,106.40641082195431
Tranching_Safety,0.15,2.5,0.06,0.02,0.1,0.8986,-54.55079271873164,1.2779999999999998,0.48936170212765956,98.73542347047137
Tranching_Safety,0.15,2.5,0.06,0.02,0.1,1.2,-54.55079271873164,1.7066547963498773,0.6534988232285682,90.99250455641595
Tranching_Safety,0.15,2.5,0.06,0.02,0.15,0.6,-53.37639459776864,0.8533273981749386,0.3267494116142841,105.93665157356911
Tranching_Safety,0.15,2.5,0.06,0.02,0.15,0.8986,-53.37639459776864,1.2779999999999998,0.48936170212765956,98.26566422208617
Tranching_Safety,0.15,2.5,0.06,0.02,0.15,1.2,-53.37639459776864,1.7066547963498773,0.6534988232285682,90.52274530803075
Tranching_Safety,0.15,2.5,0.06,0.03,0.0,0.6,-56.52173913043478,0.8533273981749386,0.3267494116142841,107.19478938663556
Tranching_Safety,0.15,2.5,0.06,0.03,0.0,0.8986,-56.52173913043478,1.2779999999999998,0.48936170212765956,99.52380203515263
Tranching_Safety,0.15,2.5,0.06,0.03,0.0,1.2,-56.52173913043478,1.7066547963498773,0.6534988232285682,91.7808831210972
Tranching_Safety,0.15,2.5,0.06,0.03,0.1,0.6,-54.433352906635335,0.8533273981749386,0.3267494116142841,106.35943489711579
Tranching_Safety,0.15,2.5,0.06,0.03,0.1,0.8986,-54.433352906635335,1.2779999999999998,0.48936170212765956,98.68844754563285
Tranching_Safety,0.15,2.5,0.06,0.03,0.1,1.2,-54.433352906635335,1.7066547963498773,0.6534988232285682,90.94552863157743
Tranching_Safety,0.15,2.5,0.06,0.03,0.15,0.6,-53.25895478567233,0.8533273981749386,0.3267494116142841,105.88967564873059
Tranching_Safety,0.15,2.5,0.06,0.03,0.15,0.8986,-53.25895478567233,1.2779999999999998,0.48936170212765956,98.21868829724765
Tranching_Safety,0.15,2.5,0.06,0.03,0.15,1.2,-53.25895478567233,1.7066547963498773,0.6534988232285682,90.47576938319223
Tranching_Safety,0.15,2.5,0.06,0.04,0.0,0.6,-56.52173913043478,0.8533273981749386,0.3267494116142841,107.19478938663556
Tranching_Safety,0.15,2.5,0.06,0.04,0.0,0.8986,-56.52173913043478,1.2779999999999998,0.48936170212765956,99.52380203515263
Tranching_Safety,0.15,2.5,0.06,0.04,0.0,1.2,-56.52173913043478,1.7066547963498773,0.6534988232285682,91.7808831210972
Tranching_Safety,0.15,2.5,0.06,0.04,0.1,0.6,-54.31591309453905,0.8533273981749386,0.3267494116142841,106.31245897227728
Tranching_Safety,0.15,2.5,0.06,0.04,0.1,0.8986,-54.31591309453905,1.2779999999999998,0.48936170212765956,98.64147162079433
Tranching_Safety,0.15,2.5,0.06,0.04,0.1,1.2,-54.31591309453905,1.7066547963498773,0.6534988232285682,90.89855270673891
Tranching_Safety,0.15,2.5,0.06,0.04,0.15,0.6,-53.141514973576044,0.8533273981749386,0.3267494116142841,105.84269972389208
Tranching_Safety,0.15,2.5,0.06,0.04,0.15,0.8986,-53.141514973576044,1.2779999999999998,0.48936170212765956,98.17171237240913
Tranching_Safety,0.15,2.5,0.06,0.04,0.15,1.2,-53.141514973576044,1.7066547963498773,0.6534988232285682,90.42879345835371
Tranching_Safety,0.15,2.5,0.073,0.02,0.0,0.6,-56.52173913043478,0.8533273981749386,0.3267494116142841,107.19478938663556
Tranching_Safety,0.15,2.5,0.073,0.02,0.0,0.8986,-56.52173913043478,1.2779999999999998,0.48936170212765956,99.52380203515263
Tranching_Safety,0.15,2.5,0.073,0.02,0.0,1.2,-56.52173913043478,1.7066547963498773,0.6534988232285682,91.7808831210972
Tranching_Safety,0.15,2.5,0.073,0.02,0.1,0.6,-54.689146469968385,0.8533273981749386,0.3267494116142841,106.461752322449
Tranching_Safety,0.15,2.5,0.073,0.02,0.1,0.8986,-54.689146469968385,1.2779999999999998,0.48936170212765956,98.79076497096608
Tranching_Safety,0.15,2.5,0.073,0.02,0.1,1.2,-54.689146469968385,1.7066547963498773,0.6534988232285682,91.04784605691066
Tranching_Safety,0.15,2.5,0.073,0.02,0.15,0.6,-53.518323381337076,0.8533273981749386,0.3267494116142841,105.99342308699649
Tranching_Safety,0.15,2.5,0.073,0.02,0.15,0.8986,-53.518323381337076,1.2779999999999998,0.48936170212765956,98.32243573551355
Tranching_Safety,0.15,2.5,0.073,0.02,0.15,1.2,-53.518323381337076,1.7066547963498773,0.6534988232285682,90.57951682145813
Tranching_Safety,0.15,2.5,0.073,0.03,0.0,0.6,-56.52173913043478,0.8533273981749386,0.3267494116142841,107.19478938663556
Tranching_Safety,0.15,2.5,0.073,0.03,0.0,0.8986,-56.52173913043478,1.2779999999999998,0.48936170212765956,99.52380203515263
Tranching_Safety,0.15,2.5,0.073,0.03,0.0,1.2,-56.52173913043478,1.7066547963498773,0.6534988232285682,91.7808831210972
Tranching_Safety,0.15,2.5,0.073,0.03,0.1,0.6,-54.572064161105246,0.8533273981749386,0.3267494116142841,106.41491939890375
Tranching_Safety,0.15,2.5,0.073,0.03,0.1,0.8986,-54.572064161105246,1.2779999999999998,0.48936170212765956,98.74393204742083
Tranching_Safety,0.15,2.5,0.073,0.03,0.1,1.2,-54.572064161105246,1.7066547963498773,0.6534988232285682,91.0010131333654
Tranching_Safety,0.15,2.5,0.073,0.03,0.15,0.6,-53.40124107247394,0.8533273981749386,0.3267494116142841,105.94659016345123
