path_id,annualized_peg_vol,max_drawdown_pct,burn_avax,n_upward,n_downward,max_solvency_gap
385,0.0,0.0,312000.00000000297,665,1,0.0
386,0.0,0.0,312000.00000000297,621,1,0.0
387,0.0,0.0,312000.00000000297,435,2,0.0
388,0.0,0.0,312000.00000000297,624,1,0.0
389,0.0,0.0,312000.00000000297,394,2,0.0
390,0.0,0.0,312000.00000000297,606,3,0.0
391,0.0,0.0,312000.00000000297,723,1,0.0
392,0.0,0.0,312000.00000000297,436,1,0.0
393,0.0,0.0,312000.00000000297,689,1,0.0
394,0.0,0.0,312000.00000000297,575,1,0.0
395,0.0,0.0,312000.00000000297,647,1,0.0
396,0.0,0.0,312000.00000000297,324,3,0.0
397,0.0,0.0,312000.00000000297,575,2,0.0
398,0.0,0.0,312000.00000000297,625,1,0.0
399,0.0,0.0,312000.00000000297,538,2,0.0
400,0.0,0.0,312000.00000000297,682,1,0.0
401,0.0,0.0,312000.00000000297,643,1,0.0
402,0.0,0.0,312000.00000000297,698,1,0.0
403,0.0,0.0,312000.00000000297,525,1,0.0
404,0.0,0.0,312000.00000000297,673,1,0.0
405,0.0,0.0,312000.00000000297,676,1,0.0
406,0.0,0.0,312000.00000000297,705,1,0.0
407,0.0,0.0,312000.00000000297,667,1,0.0
408,0.0,0.0,312000.00000000297,678,1,0.0
409,0.0,0.0,312000.00000000297,695,1,0.0
410,0.0,0.0,312000.00000000297,496,2,0.0
411,0.0,0.0,312000.00000000297,513,2,0.0
412,0.0,0.0,312000.00000000297,346,2,0.0
413,0.0,0.0,312000.00000000297,687,1,0.0
414,0.0,0.0,312000.00000000297,686,1,0.0
415,0.0,0.0,312000.00000000297,424,2,0.0
416,0.0,0.0,312000.00000000297,712,1,0.0
417,0.0,0.0,312000.00000000297,705,1,0.0
418,0.0,0.0,312000.00000000297,397,4,0.0
419,0.0,0.0,312000.00000000297,672,1,0.0
420,0.0,0.0,312000.00000000297,682,1,0.0
421,0.0,0.0,312000.00000000297,35,1,0.0
422,0.0,0.0,312000.00000000297,178,2,0.0
423,0.0,0.0,312000.00000000297,652,1,0.0
424,0.0,0.0,312000.00000000297,646,1,0.0
425,0.0,0.0,312000.00000000297,549,1,0.0
426,0.0,0.0,312000.00000000297,562,1,0.0
427,0.0,0.0,312000.00000000297,659,1,0.0
428,0.0,0.0,312000.00000000297,500,2,0.0
429,0.0,0.0,312000.00000000297,579,2,0.0
430,0.0,0.0,312000.00000000297,701,1,0.0
431,0.0,0.0,312000.00000000297,527,1,0.0
432,0.0,0.0,312000.00000000297,714,1,0.0
433,0.0,0.0,312000.00000000297,633,1,0.0
434,0.0,0.0,312000.00000000297,548,2,0.0
435,0.0,0.0,312000.00000000297,707,1,0.0
436,0.0,0.0,312000.00000000297,406,2,0.0
437,0.0,0.0,312000.00000000297,553,2,0.0
438,0.0,0.0,312000.00000000297,270,3,0.0
439,0.0,0.0,312000.00000000297,384,2,0.0
440,0.0,0.0,312000.00000000297,688,1,0.0
441,0.0,0.0,312000.00000000297,425,2,0.0
442,0.0,0.0,312000.00000000297,646,1,0.0
443,0.0,0.0,312000.00000000297,476,1,0.0
444,0.0,0.0,312000.00000000297,712,1,0.0
445,0.0,0.0,312000.00000000297,603,1,0.0
446,0.0,0.0,312000.00000000297,401,1,0.0
447,0.0,0.0,312000.00000000297,690,1,0.0
448,0.0,0.0,312000.00000000297,653,1,0.0
449,0.0,0.0,312000.00000000297,356,2,0.0
450,0.0,0.0,312000.00000000297,707,1,0.0
451,0.0,0.0,312000.00000000297,560,2,0.0
452,0.0,0.0,312000.00000000297,651,1,0.0
453,0.0,0.0,312000.00000000297,676,1,0.0
454,0.0,0.0,312000.00000000297,666,1,0.0
455,0.0,0.0,312000.00000000297,705,1,0.0
456,0.0,0.0,312000.00000000297,680,1,0.0
457,0.0,0.0,312000.00000000297,483,1,0.0
458,0.0,0.0,312000.00000000297,443,2,0.0
459,0.0,0.0,312000.00000000297,531,2,0.0
460,0.0,0.0,312000.00000000297,664,1,0.0
461,0.0,0.0,312000.00000000297,476,2,0.0
462,0.0,0.0,312000.00000000297,632,1,0.0
463,0.0,0.0,312000.00000000297,550,2,0.0
464,0.0,0.0,312000.00000000297,582,1,0.0
465,0.0,0.0,312000.00000000297,657,1,0.0
466,0.0,0.0,312000.00000000297,647,1,0.0
467,0.0,0.0,312000.00000000297,91,1,0.0
468,0.0,0.0,312000.00000000297,509,2,0.0
469,0.0,0.0,312000.00000000297,663,1,0.0
470,0.0,0.0,312000.00000000297,687,1,0.0
471,0.0,0.0,312000.00000000297,690,1,0.0
472,0.0,0.0,312000.00000000297,713,1,0.0
473,0.0,0.0,312000.00000000297,701,1,0.0
474,0.0,0.0,312000.00000000297,659,2,0.0
475,0.0,0.0,312000.00000000297,453,1,0.0
476,0.0,0.0,312000.00000000297,680,1,0.0
477,0.0,0.0,312000.00000000297,646,1,0.0
478,0.0,0.0,312000.00000000297,721,1,0.0
479,0.0,0.0,312000.00000000297,544,1,0.0
480,0.0,0.0,312000.00000000297,538,1,0.0
481,0.0,0.0,312000.00000000297,683,1,0.0
482,0.0,0.0,312000.00000000297,587,1,0.0
483,0.0,0.0,312000.00000000297,183,2,0.0
484,0.0,0.0,312000.00000000297,499,2,0.0
485,0.0,0.0,312000.00000000297,523,2,0.0
486,0.0,0.0,312000.00000000297,671,1,0.0
487,0.0,0.0,312000.00000000297,673,1,0.0
488,0.0,0.0,312000.00000000297,710,1,0.0
489,0.0,0.0,312000.00000000297,673,1,0.0
490,0.0,0.0,312000.00000000297,439,1,0.0
491,0.0,0.0,312000.00000000297,617,2,0.0
492,0.0,0.0,312000.00000000297,675,1,0.0
493,0.0,0.0,312000.00000000297,661,1,0.0
494,0.0,0.0,312000.00000000297,420,2,0.0
495,0.0,0.0,312000.00000000297,529,2,0.0
496,0.0,0.0,312000.00000000297,701,1,0.0
497,0.0,0.0,312000.00000000297,705,1,0.0
498,0.0,0.0,312000.00000000297,464,2,0.0
499,0.0,0.0,312000.00000000297,642,1,0.0
